X,Y,Party,MSP Name
5.42490190382,-8.93821957204,Scottish National Party,Alex Neil
-8.02976906345,3.37961822642,Scottish National Party,Gil Paterson
-8.62929369297,1.46807170223,Scottish Labour,Graeme Pearson
6.32677617141,-8.73184846539,Scottish Labour,John Pentland
4.53217512073,-10.6113789537,Scottish Liberal Democrats,Willie Rennie
2.68734291288,-4.33174860595,Scottish National Party,Dennis Robertson
-8.5061188152,1.96853688976,Scottish National Party,Shona Robison
-4.89600137738,4.79931544967,Scottish Labour,Alex Rowley
17.5411824,15.5321325472,Scottish National Party,Michael Russell
-6.16812225442,4.46555522288,Scottish National Party,Alex Salmond
-1.58743366745,6.27720236169,Scottish Conservative and Unionist Party,Mary Scanlon
4.58254716174,-3.56475796444,Scottish Conservative and Unionist Party,John Scott
5.63208034286,-1.55155652625,Scottish Liberal Democrats,Tavish Scott
8.30853493218,4.43010541119,Scottish Labour,Richard Simpson
18.4228353988,18.0393760593,Scottish Conservative and Unionist Party,Liz Smith
5.67772246458,-3.04176035539,Scottish Labour,Drew Smith
5.1804372031,-9.81207226033,Scottish Labour,Elaine Smith
5.87040379395,-6.9413615318,Scottish National Party,Stewart Stevenson
-7.94065129933,2.40921754931,Scottish National Party,Kevin Stewart
-8.96458806264,1.28542329837,Scottish Labour,David Stewart
6.9897785475,-7.39422612486,Scottish National Party,Nicola Sturgeon
-8.58197633438,2.05250324068,Scottish National Party,John Swinney
-7.28463034312,3.97236428211,Scottish National Party,Dave Thompson
-5.22474393078,3.34225688396,Scottish National Party,David Torrance
-7.46127539081,2.58164795248,Independent,Jean Urquhart
-5.77219447,2.11987444596,Scottish National Party,Maureen Watt
-8.41578894442,2.21432855488,Scottish National Party,Paul Wheelhouse
-9.1520719638,2.39342430074,Scottish National Party,Sandra White
-7.81087768536,2.31189853512,Independent,John Wilson
-8.61674241222,1.68882284693,Scottish National Party,Humza Yousaf
-8.24524918879,2.26858269603,Scottish National Party,Brian Adam
5.70891847831,11.4906465092,Scottish Labour,Helen Eadie
9.49870222403,0.404555562513,Independent,Margo MacDonald
16.1425896231,16.5876358409,Scottish Conservative and Unionist Party,David McLetchie
13.6223286707,10.1990051773,Scottish Labour,John Park
13.0964819752,6.91576207525,Independent,Bill Walker
